"clr","R","G","B"
"white",1,1,1
"aliceblue",0.941176470588235,0.972549019607843,1
"antiquewhite",0.980392156862745,0.92156862745098,0.843137254901961
"antiquewhite1",1,0.937254901960784,0.858823529411765
"antiquewhite2",0.933333333333333,0.874509803921569,0.8
"antiquewhite3",0.803921568627451,0.752941176470588,0.690196078431373
"antiquewhite4",0.545098039215686,0.513725490196078,0.470588235294118
"aquamarine",0.498039215686275,1,0.831372549019608
"aquamarine1",0.498039215686275,1,0.831372549019608
"aquamarine2",0.462745098039216,0.933333333333333,0.776470588235294
"aquamarine3",0.4,0.803921568627451,0.666666666666667
"aquamarine4",0.270588235294118,0.545098039215686,0.454901960784314
"azure",0.941176470588235,1,1
"azure1",0.941176470588235,1,1
"azure2",0.87843137254902,0.933333333333333,0.933333333333333
"azure3",0.756862745098039,0.803921568627451,0.803921568627451
"azure4",0.513725490196078,0.545098039215686,0.545098039215686
"beige",0.96078431372549,0.96078431372549,0.862745098039216
"bisque",1,0.894117647058824,0.768627450980392
"bisque1",1,0.894117647058824,0.768627450980392
"bisque2",0.933333333333333,0.835294117647059,0.717647058823529
"bisque3",0.803921568627451,0.717647058823529,0.619607843137255
"bisque4",0.545098039215686,0.490196078431373,0.419607843137255
"black",0,0,0
"blanchedalmond",1,0.92156862745098,0.803921568627451
"blue",0,0,1
"blue1",0,0,1
"blue2",0,0,0.933333333333333
"blue3",0,0,0.803921568627451
"blue4",0,0,0.545098039215686
"blueviolet",0.541176470588235,0.168627450980392,0.886274509803922
"brown",0.647058823529412,0.164705882352941,0.164705882352941
"brown1",1,0.250980392156863,0.250980392156863
"brown2",0.933333333333333,0.231372549019608,0.231372549019608
"brown3",0.803921568627451,0.2,0.2
"brown4",0.545098039215686,0.137254901960784,0.137254901960784
"burlywood",0.870588235294118,0.72156862745098,0.529411764705882
"burlywood1",1,0.827450980392157,0.607843137254902
"burlywood2",0.933333333333333,0.772549019607843,0.568627450980392
"burlywood3",0.803921568627451,0.666666666666667,0.490196078431373
"burlywood4",0.545098039215686,0.450980392156863,0.333333333333333
"cadetblue",0.372549019607843,0.619607843137255,0.627450980392157
"cadetblue1",0.596078431372549,0.96078431372549,1
"cadetblue2",0.556862745098039,0.898039215686275,0.933333333333333
"cadetblue3",0.47843137254902,0.772549019607843,0.803921568627451
"cadetblue4",0.325490196078431,0.525490196078431,0.545098039215686
"chartreuse",0.498039215686275,1,0
"chartreuse1",0.498039215686275,1,0
"chartreuse2",0.462745098039216,0.933333333333333,0
"chartreuse3",0.4,0.803921568627451,0
"chartreuse4",0.270588235294118,0.545098039215686,0
"chocolate",0.823529411764706,0.411764705882353,0.117647058823529
"chocolate1",1,0.498039215686275,0.141176470588235
"chocolate2",0.933333333333333,0.462745098039216,0.129411764705882
"chocolate3",0.803921568627451,0.4,0.113725490196078
"chocolate4",0.545098039215686,0.270588235294118,0.0745098039215686
"coral",1,0.498039215686275,0.313725490196078
"coral1",1,0.447058823529412,0.337254901960784
"coral2",0.933333333333333,0.415686274509804,0.313725490196078
"coral3",0.803921568627451,0.356862745098039,0.270588235294118
"coral4",0.545098039215686,0.243137254901961,0.184313725490196
"cornflowerblue",0.392156862745098,0.584313725490196,0.929411764705882
"cornsilk",1,0.972549019607843,0.862745098039216
"cornsilk1",1,0.972549019607843,0.862745098039216
"cornsilk2",0.933333333333333,0.909803921568627,0.803921568627451
"cornsilk3",0.803921568627451,0.784313725490196,0.694117647058824
"cornsilk4",0.545098039215686,0.533333333333333,0.470588235294118
"cyan",0,1,1
"cyan1",0,1,1
"cyan2",0,0.933333333333333,0.933333333333333
"cyan3",0,0.803921568627451,0.803921568627451
"cyan4",0,0.545098039215686,0.545098039215686
"darkblue",0,0,0.545098039215686
"darkcyan",0,0.545098039215686,0.545098039215686
"darkgoldenrod",0.72156862745098,0.525490196078431,0.0431372549019608
"darkgoldenrod1",1,0.725490196078431,0.0588235294117647
"darkgoldenrod2",0.933333333333333,0.67843137254902,0.0549019607843137
"darkgoldenrod3",0.803921568627451,0.584313725490196,0.0470588235294118
"darkgoldenrod4",0.545098039215686,0.396078431372549,0.0313725490196078
"darkgray",0.662745098039216,0.662745098039216,0.662745098039216
"darkgreen",0,0.392156862745098,0
"darkgrey",0.662745098039216,0.662745098039216,0.662745098039216
"darkkhaki",0.741176470588235,0.717647058823529,0.419607843137255
"darkmagenta",0.545098039215686,0,0.545098039215686
"darkolivegreen",0.333333333333333,0.419607843137255,0.184313725490196
"darkolivegreen1",0.792156862745098,1,0.43921568627451
"darkolivegreen2",0.737254901960784,0.933333333333333,0.407843137254902
"darkolivegreen3",0.635294117647059,0.803921568627451,0.352941176470588
"darkolivegreen4",0.431372549019608,0.545098039215686,0.23921568627451
"darkorange",1,0.549019607843137,0
"darkorange1",1,0.498039215686275,0
"darkorange2",0.933333333333333,0.462745098039216,0
"darkorange3",0.803921568627451,0.4,0
"darkorange4",0.545098039215686,0.270588235294118,0
"darkorchid",0.6,0.196078431372549,0.8
"darkorchid1",0.749019607843137,0.243137254901961,1
"darkorchid2",0.698039215686274,0.227450980392157,0.933333333333333
"darkorchid3",0.603921568627451,0.196078431372549,0.803921568627451
"darkorchid4",0.407843137254902,0.133333333333333,0.545098039215686
"darkred",0.545098039215686,0,0
"darksalmon",0.913725490196078,0.588235294117647,0.47843137254902
"darkseagreen",0.56078431372549,0.737254901960784,0.56078431372549
"darkseagreen1",0.756862745098039,1,0.756862745098039
"darkseagreen2",0.705882352941177,0.933333333333333,0.705882352941177
"darkseagreen3",0.607843137254902,0.803921568627451,0.607843137254902
"darkseagreen4",0.411764705882353,0.545098039215686,0.411764705882353
"darkslateblue",0.282352941176471,0.23921568627451,0.545098039215686
"darkslategray",0.184313725490196,0.309803921568627,0.309803921568627
"darkslategray1",0.592156862745098,1,1
"darkslategray2",0.552941176470588,0.933333333333333,0.933333333333333
"darkslategray3",0.474509803921569,0.803921568627451,0.803921568627451
"darkslategray4",0.32156862745098,0.545098039215686,0.545098039215686
"darkslategrey",0.184313725490196,0.309803921568627,0.309803921568627
"darkturquoise",0,0.807843137254902,0.819607843137255
"darkviolet",0.580392156862745,0,0.827450980392157
"deeppink",1,0.0784313725490196,0.576470588235294
"deeppink1",1,0.0784313725490196,0.576470588235294
"deeppink2",0.933333333333333,0.0705882352941176,0.537254901960784
"deeppink3",0.803921568627451,0.0627450980392157,0.462745098039216
"deeppink4",0.545098039215686,0.0392156862745098,0.313725490196078
"deepskyblue",0,0.749019607843137,1
"deepskyblue1",0,0.749019607843137,1
"deepskyblue2",0,0.698039215686274,0.933333333333333
"deepskyblue3",0,0.603921568627451,0.803921568627451
"deepskyblue4",0,0.407843137254902,0.545098039215686
"dimgray",0.411764705882353,0.411764705882353,0.411764705882353
"dimgrey",0.411764705882353,0.411764705882353,0.411764705882353
"dodgerblue",0.117647058823529,0.564705882352941,1
"dodgerblue1",0.117647058823529,0.564705882352941,1
"dodgerblue2",0.109803921568627,0.525490196078431,0.933333333333333
"dodgerblue3",0.0941176470588235,0.454901960784314,0.803921568627451
"dodgerblue4",0.0627450980392157,0.305882352941176,0.545098039215686
"firebrick",0.698039215686274,0.133333333333333,0.133333333333333
"firebrick1",1,0.188235294117647,0.188235294117647
"firebrick2",0.933333333333333,0.172549019607843,0.172549019607843
"firebrick3",0.803921568627451,0.149019607843137,0.149019607843137
"firebrick4",0.545098039215686,0.101960784313725,0.101960784313725
"floralwhite",1,0.980392156862745,0.941176470588235
"forestgreen",0.133333333333333,0.545098039215686,0.133333333333333
"gainsboro",0.862745098039216,0.862745098039216,0.862745098039216
"ghostwhite",0.972549019607843,0.972549019607843,1
"gold",1,0.843137254901961,0
"gold1",1,0.843137254901961,0
"gold2",0.933333333333333,0.788235294117647,0
"gold3",0.803921568627451,0.67843137254902,0
"gold4",0.545098039215686,0.458823529411765,0
"goldenrod",0.854901960784314,0.647058823529412,0.125490196078431
"goldenrod1",1,0.756862745098039,0.145098039215686
"goldenrod2",0.933333333333333,0.705882352941177,0.133333333333333
"goldenrod3",0.803921568627451,0.607843137254902,0.113725490196078
"goldenrod4",0.545098039215686,0.411764705882353,0.0784313725490196
"gray",0.745098039215686,0.745098039215686,0.745098039215686
"gray0",0,0,0
"gray1",0.0117647058823529,0.0117647058823529,0.0117647058823529
