# t(yr) dt(yr)
0.0000000000000000e+00 0.0000000000000000e+00
9.9999999999999995e-07 9.9999999999999995e-07
5.9999999999999993e-06 4.9999999999999996e-06
3.0999999999999995e-05 2.4999999999999994e-05
1.5600000000000000e-04 1.2500000000000000e-04
7.8100000000000001e-04 6.2500000000000001e-04
3.9060000000000002e-03 3.1250000000000002e-03
1.9531000000000000e-02 1.5625000000000000e-02
9.7655999999999993e-02 7.8125000000000000e-02
4.8828099999999997e-01 3.9062500000000000e-01
2.4414059999999997e+00 1.9531249999999998e+00
1.2207031000000001e+01 9.7656250000000000e+00
6.1035156000000001e+01 4.8828125000000000e+01
3.0517578100000003e+02 2.4414062500000003e+02
1.5258789059999999e+03 1.2207031250000000e+03
7.6293945309999999e+03 6.1035156250000000e+03
3.8146972655999998e+04 3.0517578125000000e+04
1.9073486328100000e+05 1.5258789062500000e+05
9.5367431640599994e+05 7.6293945312500000e+05
4.7683715820310004e+06 3.8146972656250005e+06
1.2115662013656333e+07 7.3472904316253327e+06
2.0426720117435593e+07 8.3110581037792601e+06
3.0465677443770044e+07 1.0038957326334450e+07
4.2558822213355429e+07 1.2093144769585386e+07
5.7239587665181965e+07 1.4680765451826535e+07
7.5173113226209417e+07 1.7933525561027452e+07
9.7206841272677362e+07 2.2033728046467945e+07
1.2435318599738850e+08 2.7146344724711135e+07
1.5795090888521719e+08 3.3597722887828693e+07
1.9937226410858351e+08 4.1421355223366320e+07
2.4927599107615775e+08 4.9903726967574239e+07
3.0952834592372918e+08 6.0252354847571433e+07
3.8222237904675925e+08 7.2694033123030066e+07
4.6997609816887665e+08 8.7753719122117400e+07
5.7830803506891060e+08 1.0833193690003395e+08
7.0506348775172722e+08 1.2675545268281662e+08
8.1395760074999714e+08 1.0889411299826992e+08
9.0466860716480720e+08 9.0711006414810061e+07
1.0043357248044903e+09 9.9667117639683127e+07
1.1405600490707197e+09 1.3622432426622939e+08
1.3178320598375783e+09 1.7727201076685858e+08
1.4990700373946967e+09 1.8123797755711842e+08
1.5750000000000000e+09 7.5929962605303288e+07
