# t(yr) dt(yr)
0.0000000000000000e+00 0.0000000000000000e+00
1.0000000000000000e-03 1.0000000000000000e-03
6.0000000000000001e-03 5.0000000000000001e-03
3.1000000000000000e-02 2.5000000000000001e-02
1.5600000000000000e-01 1.2500000000000000e-01
7.8100000000000003e-01 6.2500000000000000e-01
3.9060000000000001e+00 3.1250000000000000e+00
1.9530999999999999e+01 1.5624999999999998e+01
9.7656000000000006e+01 7.8125000000000000e+01
4.8828100000000001e+02 3.9062500000000000e+02
1.6650914387498665e+03 1.1768104387498665e+03
3.2404249741221374e+03 1.5753335353722709e+03
5.6019481219854097e+03 2.3615231478632722e+03
9.0705509977136462e+03 3.4686028757282365e+03
1.4299448948276706e+04 5.2288979505630596e+03
2.2131717891364635e+04 7.8322689430879291e+03
3.3881767858471911e+04 1.1750049967107276e+04
5.2389709783632206e+04 1.8507941925160296e+04
8.1902695329796406e+04 2.9512985546164200e+04
1.2918716636830881e+05 4.7284471038512405e+04
2.0547059017632538e+05 7.6283423808016567e+04
3.2929516323784052e+05 1.2382457306151514e+05
5.3148863074607693e+05 2.0219346750823641e+05
8.6348818184191757e+05 3.3199955109584064e+05
1.4114815575236250e+06 5.4799337568170740e+05
2.3204344589776453e+06 9.0895290145402029e+05
3.8350795617021890e+06 1.5146451027245438e+06
6.3700325906485822e+06 2.5349530289463932e+06
1.0630090923909325e+07 4.2600583332607429e+06
1.7817202930808567e+07 7.1871120068992414e+06
2.7817202930808567e+07 1.0000000000000000e+07
3.7817202930808567e+07 1.0000000000000000e+07
4.7817202930808567e+07 1.0000000000000000e+07
5.7817202930808567e+07 1.0000000000000000e+07
6.7817202930808574e+07 1.0000000000000007e+07
7.7817202930808574e+07 1.0000000000000000e+07
8.7817202930808574e+07 1.0000000000000000e+07
9.7817202930808574e+07 1.0000000000000000e+07
1.0781720293080857e+08 1.0000000000000000e+07
1.1781720293080857e+08 1.0000000000000000e+07
1.2781720293080857e+08 1.0000000000000000e+07
1.3781720293080857e+08 1.0000000000000000e+07
1.4781720293080857e+08 1.0000000000000000e+07
1.5781720293080857e+08 1.0000000000000000e+07
1.6781720293080857e+08 1.0000000000000000e+07
1.7781720293080857e+08 1.0000000000000000e+07
1.8781720293080857e+08 1.0000000000000000e+07
1.9781720293080857e+08 1.0000000000000000e+07
2.0781720293080857e+08 1.0000000000000000e+07
2.1781720293080857e+08 1.0000000000000000e+07
2.2781720293080857e+08 1.0000000000000000e+07
2.3781720293080857e+08 1.0000000000000000e+07
2.4781720293080857e+08 1.0000000000000000e+07
2.5781720293080857e+08 1.0000000000000000e+07
2.6781720293080857e+08 1.0000000000000000e+07
2.7781720293080854e+08 9.9999999999999702e+06
2.8781720293080854e+08 1.0000000000000000e+07
2.9781720293080854e+08 1.0000000000000000e+07
3.0781720293080854e+08 1.0000000000000000e+07
3.1781720293080854e+08 1.0000000000000000e+07
3.2781720293080854e+08 1.0000000000000000e+07
3.3781720293080854e+08 1.0000000000000000e+07
3.4781720293080854e+08 1.0000000000000000e+07
3.5781720293080854e+08 1.0000000000000000e+07
3.6781720293080854e+08 1.0000000000000000e+07
3.7781720293080854e+08 1.0000000000000000e+07
3.8781720293080854e+08 1.0000000000000000e+07
3.9781720293080854e+08 1.0000000000000000e+07
4.0781720293080854e+08 1.0000000000000000e+07
4.1781720293080854e+08 1.0000000000000000e+07
4.2781720293080854e+08 1.0000000000000000e+07
4.3781720293080854e+08 1.0000000000000000e+07
4.4781720293080854e+08 1.0000000000000000e+07
4.5781720293080854e+08 1.0000000000000000e+07
4.6781720293080854e+08 1.0000000000000000e+07
4.7781720293080854e+08 1.0000000000000000e+07
4.8781720293080854e+08 1.0000000000000000e+07
4.9781720293080854e+08 1.0000000000000000e+07
5.0781720293080854e+08 1.0000000000000000e+07
5.1781720293080854e+08 1.0000000000000000e+07
5.2781720293080854e+08 1.0000000000000000e+07
5.3781720293080854e+08 1.0000000000000000e+07
5.4781720293080854e+08 1.0000000000000000e+07
5.5781720293080854e+08 1.0000000000000000e+07
5.6781720293080854e+08 1.0000000000000000e+07
5.7781720293080854e+08 1.0000000000000000e+07
5.8781720293080854e+08 1.0000000000000000e+07
5.9781720293080854e+08 1.0000000000000000e+07
6.0781720293080854e+08 1.0000000000000000e+07
6.1781720293080854e+08 1.0000000000000000e+07
6.2781720293080854e+08 1.0000000000000000e+07
6.3072000000000000e+08 2.9027970691914558e+06
